tweet,class
fking disgusting,0
omg loving station way jam work getting work done course # memories user,0
user user hoes got bodies cemetery .,1
wont get catfished anymore tho bc im longer trying stick myy pp twitter hoes,1
think establishes motive . # lgbti bigotry alive well 2016 america . # smh,0
really wish ( # hungry # sinner,0
user cant take girl serious refers bitch guys dates niggas .,1
thugging theses hoes since preschool,1
wait min nigga bitch lol user # fuckthesteelers # httr dont give damn ( cont ),1
road trip vegas . im getting pumped . # lasvegas # roadtrip # 4mansquad,0
user u may think im bitch soon get know u realize first impressions right bitch,1
thankful electricity . # thankful # positive,0
user retarded . lol jk,1
wait new place # movingagain,0
user darkskin girls ugly ass bitch,1
18x24 wall home decor marvel comics avengers incredible hulk pai # karmafarmers,0
user wear vineyard vines american flag chubbies . im opposite wigga .,1
user shine bright like bad bitch,1
im smoking good n bitch conceited user,1
user wonder call bitch . wonder call bitch 2pac,1
user someone sent months ago bitch,1
hoe shit tho bout say perro got butt naked bitches dishes,1
user thats,0
trying deese features snapchat . # snapchater # lukin,0
user tomorrow im going user see user,0
gone passed driving test ( first time ) . # driver,0
"user envy bitches long , full eyelashes",1
pretty bitches love bitches love # guccccci,1
lil hoe tweets point,1
"half n half available ? sorry , whole milk . dumps coffee front us seriously ?",0
moving bitch weekend,1
feel much # normal # ive lunch friend weekend #,0
fight america . fight lives . point im sure could depend never trumper back .,0
user annoying im gon na vomit annoyance bc little bitch,1
"user hoes acting know , imma let em",1
cloud stay stealing peoples phrases first takes jens saying friend takes mine saying nigg get nig dam,1
# day # afghanistan may peace region ameen,0
get nudes bitches,1
gim another beer bitch,1
user new plants user ready garden gardening know,0
"wish , wish , wish , wish , wish , wish bitch would cept already , gon na handle",1
bitch think want im love wit da gwap .,1
bihday user arent enough superlatives describe.,0
# moreno bull dominate bull direct whatever want .,0
user god doesnt send retards hell,1
newnewnew # bag # leather # handmade # shop # germany,0
ness bull hill climb reach target complete task survive . strong excite,0
nobody planet earth protective bull dykes,1
homicides rose big cities year wall street journal # povey # inequity # illegalguns,1
user familys horrible attack # thegreenpalmcottage # plettenburgbay # westerncape thyini thiza want t,1
journey # bus # rain # nature # mist # bird # cliffs # beach # picturepostcard,0
heck mean please silence racism # bully,1
"girl legit looks like pig , kiss imik bitch",1
bitches happy maybe one female friends find bitvj,1
user grade pussy .,1
needs win titles smacks hoes user big ben gone smack another hoe lost sorry user,1
youre bitch user aint seen yall lose bad since user work slitting wrists currently . thanks tom brady,1
"stop wishing death mine shafts , basti .",0
user im always call away ya need nigs,1
"user boards still tie dye ones , monkey edition , black silver , newest ones",0
# filibuster . . dylan user,0
u know came stunt drop pussy bitch,1
set ready tomorrows user user # multiskill grand final,0
user user texting bitch,1
user brilliant service kettering branch today customer,0
user heree cipd ireland conference # cpd user user,0
trying mature subject . kind fucking pussies bitch satirical tweet asians ?,1
# bihday # sienna user # blast,0
might infected user niggas would really turn pussy ? buggin,1
going great day # realestate # realtorgirl,0
wont look fuher # love # sheisinallsecretagamer,0
"cant fuck wit bitch ugly friends ,",1
lucky . # iam # positive # affirmation,0
big greenmile tweetin ass nicca,1
got bitches tho thats got .,1
speaking . user lot backpage hoes dont like fucking black guys never went thru,1
dont talk trash regarding sports .,0
everything look better bitch next,1
niggas straight hoes bruh ima stop fuckin em,1
user user user thats going wonders coverage . # notreally,0
dont believe aps hohum tone latest poll great news republicans hot air,0
sadboy bitch worldwidee,1
user using ymx+b find slope ass,1
"check flyer # trump yay titties question bring pussy grab , pussy be",1
user stop bitch made nigga man show ass whooping,1
got bitch bad cant afford fuck .,1
"scandalous niggas hoes hate happy relationship ? let happy together , fuck",1
w bitch,1
"user intimidated ? pussies , see sweet , honest woman , seriously could make stalking thing much easier",1
user remember 94 bitch stop drink get stalled # wib advice,1
user comes # taxwriteoff four # whitenationalist groups given # nonprofitstatus user user,1
user bitch time,1
nikko gay bitch,1
user long story lol ive missed faggot,1
whats makeup called cheeks ? call bitch spots lmao,1
user user hillary bigger lead polls obama 08 12 point basis .,0
"user omg , use word broad ? people dont agree w / , theyre triggered ? ?",1
"user user user , youre nigger , go pick cotton",1
dont sad # illustration # love # rimidesigns,0
user user wigga fuck r u conversation yo stalking ass,1
user user lmao slope 2x+1,0
"sta day # cute , note setting cuddle alarm # mornings # alarms # cuddling",0
bowling stas back tomorrow user user,0
user ? nigga pussy . got hands dawg,1
hope accidentally get fat black bitch pregnant,1
cheer,0
im going chase dumb bitch,1
ay cuh hot af . im finna go buy yo bitch ice cream . lol,1
lik u cri everi tim,0
want watching game boyfriend instead  # longdistanceprobz # sucks,0
still cant see niggers see white hoes,1
"lets see goes lol im using coupon haha kik , dm , text , ya tweet hoe lolololol",1
dwarf thumb,0
sean kingston look like facebook dyke,1
feeling pretty good past days,0
"user btw , happy birthday , charlie get better soon",0
im proud hearing feedbacks students saying improved .   feeling proud,0
big bitches like im thick yea bitch atound midsection,1
"user word , bird",0
think lot bitches dont smile selfies breath stinks dont want steam front cameras,1
carrahs bitch .,1
"user twitter bird logo , thats join youre egg . home button birdhouse . jus",0
user u cant love ? dont love hoes,1
quiet girls hoes watch,1
user guess white women arent blame ? work ? ? user user # propaganda # alllivesmatter,1
"user bird doesnt sing answer , sings song . maya angelou # poetry # writing",0
user user look shit imma bitch forreal,1
"user glad brought kid home , fucked face ucmj . dont care taliban pussies really .",1
user people beg see womens bodies minute theyre seen woman hoe oh okay,1
catch user tomorrow . tune dvr 4 later . see morning user ooxg # fun,0
hoe cute 2014,1
# bihday wish members # countryclubdubai . # hope many # celebrations bihday,0
general knowledge quiz  set seven,0
hoes hang wit hoes cuz dey got da hobbies,1
user cleary dark skinned niggas fuck better light skinned niggas . proofs bitch face,1
user still fucking trash . cant eat save life .,1
tried get rob wop bitch critical,1
user boobs boobs boobs boobs lotta boobs man make baddest bitches send nudes,1
faces ? ? ? please please one  cluedo,0
todays best deals 29frontier airlines cheap fares # fall travels,0
super bad bitch walk past u u cant help stare,1
playing ernie makes # airedale bei,0
could another take # singingintherain user 3 sleeps go # swingingintherain,0
getting  gym pic # mirror # gym # topless,0
# lessismore gorilla simulator need adapt environment . need tear city . mate,0
wishful thinking . # dailysummerlivin # wish # beautiful # finalsweek,0
ever pop bag chips bitch bust open end facing fuckin floor,1
user hoe cellphone bill 100 month,1
user roberts fuckin fag smack shit outta,1
user baby 6 hours,0
"user year well received gregorian festival took place ramadan , dont feel like",0
way,0
user user user yeah internet def taught bitch cant twerk talkin bout voting .,1
bc got many bitches,1
wishing # mahoganygroom mr. robe swatson # korbe2016 # bihday . wish you,0
user never trippin hoes,1
realised fathers day omg fathers day dads ther,0
user way delete tweets stanky bitch,1
wish nigguh would try clown shit w.o.h.s,1
im fucking around two bitches never made hoes mistress,1
one # broken # bolts # removed another # customer ) # poelisabeth,0
today 20 old bihday wish # bihday wish best even even forget,0
"user real tears user user outfits trash , dyke outfit got weakkkkkkkk",1
bae said u bitches watch yall mouth lmao,1
user watch social media hate blood try wish bad derrick back bitch stop hating # stronger # qui,1
user received user frame . # nobodyputsbabyinthecorner back box ready put n,0
"youre whiney bitch , zima shut fuck # democrats",1
user course day nip shit hair wearing scruffy / favourite stolen hoodie best time bump,1
user j want win give away bad,0
happy daddys day fab dads # fathersday fathersday,0
"user user little punk , send ass iraq weeks little bitch would come home kiss ground",1
user smh iont understand fuck hoes,1
user # everyday # pretty playmats via user,0
user user bitch wea ur clothes,1
lama tak muncul  # # selfie # today,0
new face jenna bien jumping friday photo user # tgif friday,0
"scenes # euro2016 , fear next user",0
"karma bitch , cant figure shit im",1
lot dumb bitches,1
"dont need election 2017 , need referendum dissolution pseudo state .",0
thankful sense sight . # thankful # positive,0
"good morning desde tampa , fl      # consultingjob # training",0
user 21 days shakes never end im loving # success # herballife # gains,0
hea goes friends families orlando shooting victims r.i.p dened # helpless,0
user lmao trash,0
uekettas chic jewelry saying fathers day # fathers # enjoyyourday,0
greatest gift ever came god call dad,0
".user wishing bihday hope great day , sweethea",0
user im excited 0613 favorite day year .,0
"# son even perfect one . # time always key life ,",0
user youre going talk shit sister . dont play pussy shit . say face yo # justsaying # slapabitch,1
dont wear makingthebestofit mask . book shares path . preorders avail,0
user ive mine pre ordered weeks # wizardingworld # cursedchild,0
racism manmade tool say different really arent # equality,1
"im going movies weekend , . bffl , bitch , nigga , . # solo",1
"user got twitter , facebook , instagram fuk yuh mean send u pic ? bitch better download avi",1
"user fucked , fucking retard ? condemning ray rice , yet supporting chris brown , whos women abuser . thats logical ?",1
"sad , first possibly many come . # extinction",0
# think # beauty still left # around . # annefrank,0
user feel bad guys give girlfriends world bitch still treats like shit like damn,1
exactly dont tell bitch shit,1
man cheat woman fuck 20 different bitches 1 year .,1
user fuck throbbing pussy slowly,1
# caturday today # ripchristina # saturday # rip,0
passionpurposepeopleprocessprofit # smallbiz # entrepreneur,0
user lazy saturday packing trip melbourne tomorrow # melbourne # sex # tweety,0
time sing ole ole ole . seeing rain outside # noida # delhi # rain,0
new headshots andi crown yes # actor # headshots,0
user come record saying hes bitch,1
user omg hahaha best thing watch today . milan lucic crybaby bitch goon . f f bruins,1
ghetto ass bitches came job talm bout sum yes u daddy,1
# festajunina user carlos drummond andrade,0
"# ifthepurgewasreal id best prostitute madam ever . hey , got pussy , shouldnt broke , right ? lmao jk",1
user die car accident faggot,1
user u monkey bars lol,0
"im dick aint even got ya strap , pussy",1
# friyay # friday # job make feel # beautiful  check monthly,0
say mean dyke ron # wcw,1
user text fag,1
theres special place hell people slam brakes yellow lights,0
user user trash tbh # startmikevike,0
herd random . creepiest sound da fuck going outside windows . im looking bitch .,1
saw crow gallop across road . # mmkay # wut,0
user user user user still blaming bush ? fucking retard,1
user user yeah get trouble less .5 percent chance mistake . youre fucking retard .,1
actuallyy huss watch geordie shore knowing user longer gon na .,0
user # weekend user,0
every slant # losangeles deported . scum right . chinatown bulldozed .,1
bout play game lol,1
dev grind begins # webdev # html # css # java # work # late # webdesign,0
"like said . fuck lebron . fan base , bandwagons , dick riders , loyal ass eaters . dont like bitch niggas love one .",1
user lees hoe een gepeste jongen zich probeert te verdedigen . ingezonden brief volkskrant . # pesten user,1
# man gun # much # broader # problem,0
kaetlin bitch,1
almost time # euro2016 begin,0
"user dunleavy , cracker ass honkie",1
user text bitch,1
user main reason aint got girl cause aint never found 1 bitch tryna get money wit yall hoes like,1
# sar still trailing falling eur / jpy rate # blog # silver # gold # forex,0
"user get fuck bitches niggas dont love hoes , get dough .",1
user coming user conference train ? bunch us waiting greet mk station # ous,0
user user correct way written doesnt matter profession clearly still thing,1
wishing # queenat90 # glorious # bihday # soroptimist # sisters # worldwide,0
thats keep aint like hoes,1
since gave pussy ass getting fatter,1
user niggas tweet wanting good girl giving hoes attention day,1
sometimes finish something sta something better # goodday # smile # polishgirl,0
user wonder nsa spook following ?,0
women feminist ugly bitches cant find man,1
treat dad 3 potato 4 happy fathers day # fathers # day # dad # dads,0
1 hour # btsbihday # btsfesta2016,0
user hope day special af # bihday # goodvibes,0
"user know blocked , next week bitch user",1
user lake derwenter  # catbells # hike # rambler # lakedistrict # love,0
user wey went job interview high bitch straight stanking like dank haha eyes red hoe,1
"kidding guys dont hoes , dont let user lie yall .",1
user hehe hoe quotes,1
hate wake early morning drink . fact cold yellow gatorade fridge gets happy,0
"# god want , wants # saved . # happiness byproduct # salvation .",0
user charlie crist leads rick scott florida governors race every vote matter,0
baby boys crib . # newera glad # emptynest # soooooproud,0
user cant letting messy hoes mess yo business .,1
well wish could shoot shit wit u bitches daddy got ta get dis money .one,1
"open . , loving hea # thursdaythoughts # relationships # marriage",0
"bad bitch give good head , dumb bitch get hood rich",1
worldcare # today # day,0
user new sweet # homedecor # design available user user # pet # together,0
user ughand lem guess yellow cake ? heard story,0
"check user fathers day . cider , nuts , blu rays spray dont smell . . # dont",0
smiling # dog makes # dogfriends,0
"dont like us colored folks , hell youre colored white fucks",1
im sorry . . # loss us,0
"oh yes , true  # audreyhepburn # sunday # funday # girlsnight # instafun",0
mimi trash lol,0
"because im .  hour 4pm6pm today , get 1 / 2 cocktails , wine , drafts . see me",0
user isnt tea anymore user bitches peep everything still getting cheated something addin,1
"user , # anc laws whites protects blacks # southafrica . # affirmativeaction",1
stoni fuckin queer .,1
user pop molly ? dont hoes start popping birth control,1
car anxiety bitch .,1
"nigga got pill poppin bitches backkkk , cherokee",1
al greatness adam al da blessings manhood # granted men fathers day to,0
"loving life calm , boys happy .  # family # lovemyfamily",0
silly time # god amazing # goaldigger # beedaboss kokcoutureclothing,0
# tomyfutureson fuck dem hoes better love dem hoes .,1
feeling # hungry ? science says normal # hangry,0
user user mean girls honest bitches . # truth user,1
"user bad bitch , htown , keep trill yall know yall cant fuck aroundddd",1
summer vibes  # sunnydays # summer # istanbul,0
stay faithful room full hoes,1
# gbp / jpy surge pass 151.00 level uk jobs repo # blog # silver # gold # forex,0
user date get rid ya exs ill get rid hoes dont need interference,1
11 months already,0
user get nigguh streets,1
user lol eatin da shit outta sum pussy . ill never serial pussy eater tho .,1
user automatically hoe somebody calls one .,1
user ji user pls tell whats something special us # diljitdosanjhfans,0
"# darksouls3 bringing # raging # stupidity pa , thats good im stupidity .",0
happy friday  weekend ?  # fridayfunday # friday homefurnishers,0
ua tanks user # underarmourwomen # fit # healthy decide.commit.succeed,0
"# cake bihday happy 90th bihday queen , good excuse eat cake",0
user user yes,0
true good thing love lol  # loveyourself # goals # confident # free,0
"user bitch fam wtf skrong , says shit like get wack ass page lamo",1
get pussy quicker days,0
user user metaphor dumb fucking nigger user,1
rbc museum # yyjaboriginalfest see user dance user,0
"thought bros hoes , guess",1
# huntington attack bull game 3d really think head empty around city . side,0
hoes loyal,1
user ? smdh another bitch,1
lightskins like user yall got fuck im dicking young # pv18 bitches refund check got pay rent,1
stay warm # beanies # sweaterweather # booty4ever,0
focus # positivevibes aim # goals # sunday # youth # leadership # life # smile,0
user everyone redskins lathered oil ? fuck ?,1
user # mommy # anal # blowjob # mature watch clip,0
bihday girl goes mykonos # bihday # 30bihday # 30isthenew20,0
viewuser park graduation,0
user tell yall im trying turn bayou classic # drinker bitch got id .,1
pornographicoooo dont make hoeoo,1
user user haha ight nig calm yoself,1
life complete # dolphin # bulgaria,0
user user thats 8 regular season losses # # # retarded,1
user shouldve bitches wallet tigher puy,1
wish smoked could hit smoker loser hoes,1
user nooo amlmfao dont bitch ya bitch,1
two years strong honkie user,1
"dont love hoes , baby forever",1
"# carlpaladino made , vile remarks # presidentobama # micheleobama # trump # deplorables must go",1
summer nails # bright # vibrant,0
ordered user lip gloss cute  # sohappy,0
? stereotyping . know isnt true . still live 2 miles folks # grounded,0
user looks good . mine looks like mugshot . look totally,0
mane wtf wake look da window showin like mf outside.good thing nicca went walmart yesterday good aone snacks,1
"bitch idc like , respect",1
"user 2 things world aint seen , thats ufo bitch need",1
user sunday bebs . phones going . snacks ready . 13 episodes straight .,0
live girlfriend # teen # asian # webcammodel # female # webcam # china # pussy,0
user dis bitch jus blew high,1
# fathersday gift # dad secured # financial # future # save # insure # invest,0
user free speech liberals ? much evil . switching bing today,0
"people come blessings , others lessons . # life # quotes",0
user price wrong bitch .,1
user bitch talking u stfu get page oh bitch nigga u bout life,1
user hoes lost .,1
job today make make someone else # unhappy,0
user otw sa moa,0
user finally found way delete old tweets might find useful well # deletetw,0
user know bitch boy named luke,1
user fag thats gay ass shit,1
saw email today said user phd defense coming soon .,0
user dont let door hit way . sorry ass mofo . # youdisgustme # kickrocks dont come back white dumbass,1
tryna stay go sleep early tonight .,0
hey bitchadam showed upbring beer .,1
user mike service engineer always happy smile  workplace # eageoplease,0
aint shit pretty bitch momma anyone get drama,1
user ud still fag lolz,1
stop calling user ive met . bbc . hes got big work ahead . user user,1
user bruhhh im joking . dont pop trunk im bitch ass niiiieeegggaaa,1
user taking picture bitch scared lmao,1
user bitches middle school like,1
shows animals every bit emotional capable emotions humans .,0
could viewing future rosecolored glasses t. libra,0
"user make sure take rage unsuspecting targets today . chose stapler , bitch coming .",1
"user user user guy thinks slang around bitch without offensive , apparently .",1
user tierra marie im princess roc rihanna yall get good pic cause bitch aint gone long,1
user strong black women simply bitch wan na argue every single thing,1
race ladies gentlemen # canadiangp last # vettel vs # hamilton user,0
user swear youre n realest n stay little bitch shit like,1
user hope charlie strong . # utcoach,0
"less said bout province ( mpumalanga ) better , dont team elite league .",0
user smoking weed unattractive haha trying get high bitch im trying turn .,1
user user saw xxx thought hoe,1
"dont mind twinkies gon na gone , concerned rest hostesses product line",0
user user hours left bihday # hbddave,0
6 / 18 / 16 single restless available sign get free,0
user even piss colored user piece shit bought one . smh hate,1
already miss best friend even 24 hours yet lol user,0
# bih # day user wish u many many returns day stay # blessed keep # smiling,0
user nah gurl pussy private,1
littlw video todays finishing session star ) # poppy # tattoo # workingmum,0
user sleep night ? terrible person sir represent everything wrong country . gfy,1
"user ohioans clowned kid like , sooo warm fuck wrong minnesota ? well bitch karma teamed wit",1
steph . san kana ? ? 3s badly needed . please,0
nicca n dis bitch playin games phone,1
user liked hoe,1
truueee see,0
officially purchased ticket see sia,0
baseball isnt without yankees playoffs basketball isnt without lakers em .,0
user follow spree cunts . retweet # followmebeau,1
"couple age degenerative spinal condition , could looking end david wright .",0
man im tired dealing hoes dick,1
shot stripper hoes keep stealing tacos .,1
"seen nigga dressed impress , hop da bus n bitch wit phatty , get stop . say somethin.god throwin u da lob",1
user latest blicqer daily thanks user user user # marketing,1
user euros finally # coybig # euro2016,0
user making schools # spectacular places user user # educationfest,0
"user lowkey bitch , one ride lowkey .",1
bitch crying,1
user niggas cheat girl stalk call hoe moving . talking bout gave quick,1
conservative america attack user unjust prejudicial display user proof .,0
ive waiting moment months lol last work day edc . # herewego,0
madea old hillbilly hilarious together .,0
heres collection coverage womenrelated issues # womensissues # gender # equality,1
"thank # thereelscene actors gift , love # actorslife",0
"user every females worried played , every nigga worried hoe . nothing games b played wit minds",1
user ill write poem u hoe,1
user bad bitch asks come,1
lady banned kentucky mall . user # jcpenny # kentucky,1
bffs bday pres sitting room want send bday isnt till next month user,0
"user nobody cares , bitch",1
.gosh made cry,0
today gameday # iubb need # iu win jersey arrive # hoosiernation # hoosiers,0
user hell yeah benihana bitch,1
"user im straight grizzly would buy gay ass teddy bear , bitch ? youre already bipolar",1
bt bitches niggahs always hand,1
# luckybamboo makes bamboo # lovemyoffice,0
# fact user kanye best good piece pussy fucks,1
first # ipsy glam bag arriving month,0
user jenny says youre evil bitch .,1
user .user voice behind user mustard beat hoe,1
user bitch taught know mess ups,1
pussy wet im calling rain,1
user going give whirl healthy,0
user send hoes aint nobody gone play geez lmao ask,1
user user tysvm # monday user user user user user user a,0
glitteringprize came kiln morning trudi # glitteringprizeglass .,0
user bitches like im virgin,1
bf gf suppose laugh hoes together . guy never hoes laughing girl,1
user user user today 10am bitch hw,1
ohh # whine # whine # whine says # faggot # ass # steroid cream forgiving # giants # busterposey takin shot # barrybonds ? ?,1
# midwest us white trash .,1
user bitch u love,1
claudia user lifesaver # helpful live soon # ruralcamping,0
cant wait nurse,0
user yankees unveil beautiful derek jeter cage monument park,0
way much shit look forward,0
commit messages like add empty tests make # gradle happy make # dev # github,0
someone came told pulled hoes today . pissed thats fucking false sad .,1
"user user user user dont time childish games , fight bitch .",1
bbl gon na go sob gay bird babies .,1
user still,0
cavs trash,0
user rapping # thepoetwillbetelevised last night # theunnamed band,0
playing user # bossradio,0
"haha user smoke mirrors . soon lights go aht , im yinz nat .",0
unlimited yes unlimited yes unlimited yes unlimited yes e vai se fuder,0
man bad built bitches san antonio . u cant wear thong beach yo ass bet retweet,1
bitch please face,1
ibukis shaved pussy fingered fucked tight little rosebud ass isdestroyed,1
user user redneck attitude . people think benghazzi real think fox fake nws real . one,1
jackpot realized bears love blackberries # yummy,0
"met fella wants brexit , couldnt come anything apa great britain many migrants",0
"kids nothing , moon # football . many kids make ?",0
user johnthanmorris father day susan verre,0
user ya 5 games retard ?,1
slay lolz jk bitch ill cut # emabiggestfans1d,1
user lmaoo youre pussy call cops . also wanted find yu would . im gon na waste time,1
"know shit everybody , dont care enough speak suggest bitches watch forreal .",1
user bitches set hoppin like bitch get life u get beat lmao,1
user sings careless whisper broken 7 year old flip flop way trash,0
going miss cheeky birdie next 12 days # budgie # oden # misshim,0
sudden craving hell user cookies .,1
"user chrus still supahot tho walks teacher test , drops test bitch fohead",1
user user obamas bitch,1
hate selfrightous black bitches .,1
"# broken buffalo simulation buffalo take vicinity homes . way ,",0
scientifically proven one cry least watching charlie st . cloud .,0
told trust bitches watch yo homies,1
user oreo 6s,0
"like ima need write statement . bitch write diet always old people trying snitch , bitch",1
"user dont want battle , shook cause aint things half way crooks bitch",1
# nehabhasin # madhaniya 14th june . 5 days go # staytuned,0
"# allahsoil jews , christians muslims believe good prevail . cnn # bbc # msnbc # 2017in3words",1
even darkest night end sun rise # thanksmahal,0
yesterday user  # restaurant # eatallyoucan,0
"ever sports seemed scripted , ending yankee game proved",0
whod thought redneck husband would claim hipster glasses ?,0
"# oil pressure , eyeing test 47.00 suppo # blog # silver # gold # forex",0
user bet hit bitch like game winner,1
user non stop election blame # cspan hiding 8 years 2016 pittsburgh california,1
user boy clean bitches .,1
brownies bomb,0
omg user user yo side bitch find gift bought ya girl lmfaoooooooo,1
user user user youre faggotyoure texas fan .,1
user user omg youre nigger .,1
broads think like low self esteem willing settle anything # smallminded,0
user christmas mini sessions dates early really excited # cantwait,0
commandeered daddys ice cream cone # junesuitejune # icecream # icecreamcone,0
senior privileges bitch,1
got bitch bad cant afford fuck,1
sunny paris love summer  # thursday # evening # smile # picoftheday,0
user user think job toodles bitches,1
user yay congrats user great album # number1 # rickastley50,0
"loss words , 50 killed , 50 wounded # orlando",0
user lucas delighted subway,0
"look coon ass nigga . standing damn toilet , looking around manhood .",1
great week kms awarded promote user # germany . # sunnysideoflife,0
let sunshine .  # sunlight # sun # goodmood # grillon # zen,0
"chat , mutually connected . easily block repo creeps . # chat # message",0
user yea ima spin yo hoe 15 12,1
ramadhan / gresive lovers,0
lie tho gon find bitches,1
dumb black bitch getting cards picture made fucking mad ruined day,1
user # sad pic together life . happy bday cutie,0
really want girl make brownies,0
happy new year white people elected president treats women like crap biher disrespectful kkk suppoed white devil .,1
fathers day # rich dadyoung dad,0
user kendrick better papoose drake,0
loving new user purchases wait get training # justdoit # fitness # workout,0
"user havent got wife , im black , jewish gay manyour go /",0
love user ),0
user bitch c user,1
user guys gon na tlc anymore ? # newfielove,0
"wakeuppeopl3 duck motherfucker misinformation , conspiracy # motivation",0
based niggas bitch look,1
bri doesnt even bother text anymore tweet,0
"user dude girlfriends mom , trashes wedding . mopes folk rock . # explainafilmplotbadly",1
user fuck yankees,1
wtf wrong florida ? ?,0
# bihday user # ultracraft kitchen see ? chris evens,0
"waterford man fined 500 , heads cou prove dog pit bull # disgraceful # wrong",0
"knew , bitch youll better",1
frank dad fathers day,0
coz  belongs # daddy  # diadelpadre # fathersday # love # fun # amuse place,0
really care bout dis bitch . dick yo feelings,1
gave dad # fathersdaygift early # loveit # liverpool,0
user august trash,0
im # tedgibson ted getting hair colored right beside . heeeey,0
launching # politicalmillennial january stay tuned dates # letstalkabout # climatechange # education,1
"user user purple pinkfor faggots want protected.by police , instead bearing arms need",1
user trash us another conference say goodbye,0
user real man gon na keep real bitches lmaooooo shut im tellin u women mind ur business,1
user user lmfao hicks,1
matter time.expect .,0
dream job pedophile dressing like mickey mouse hugging kids day,1
dyke one side head faded,1
summer pedicure # summer # pedicure # toes # selfcare,0
user user yes disgusting hateful # trumpsamerica # hateful,1
time ross congratulations,0
"user yassssss , ordered chinese bitch ate tacos fat fuck",1
lover stop angry visit us # lover # friend # astrologer # love,0
"tell dick recently pussy , taste nasty af ewww bitches better never play shit",1
pussy asian reality sex,0
location location location # lovemyjob # nextplease,0
user ladies nigga always wan na go party every weekend . basically side hoe shopping,1
user dog thing kaitlyn going try actually makes happy . want cuddle every,0
cant wait get moved new home weekend   week  user,0
horny japanese milf showers toys soaking wetpussy,1
white people always gave yellow ass teeth,1
real nigga shit wan na righteous young rich nigga bitch,1
fucking royals bitch work,1
"user coffee , bacon butty , writing catching user user blog posts # thankful",0
happy thursday lovelies # thursday # goodday,0
user apple ceo says gay gift god part campaign sell iphone queers,1
user trigger finger keep pussy wet ? thanks,1
", jissus man , pple wait festive period upset others . rightfully , outrage whene",1
"bitch bad piece , yo bitch got bad feet",1
user teabagger scum wants threaten people penis extender . danger country .,1
# happiness # love often wish everyone .,0
reached sad news anton yelchins death . unfair # ripantonyeltchin,0
meet pit master  user # family # faith # hope # love # coolschool # picstitch .,0
many mac gurus fans whatever seem care much orlando # astonished # orlando,0
reality lame niggas corny niggas get bitches bc sooo many dem niggas nbs lol,1
"walk house , knock door blow ass . drop , drop , bitch got sawed",1
"60 ? good luck nh nh user im 60 , 150 . one bitches better reproduce . give athlete .",1
"oh user thursdays noodle day , done menu ?",0
# mt # goauche # monkey # oldpainting # vinyl # jazz # lounge,0
user annoying hell girls tweet bae day . dont give fuck bitch . bae somewhere cheating ri,1
n # healthy dont get life want . get .  jackie lapin,0
user mertesacker saying give ghetto fist still goat,0
every nigga trynna fuc next nigga bitch knowing bitch next nigga bitch,1
bitch really filter,1
user takes one bitch ass monkey human fuck every bodies peace serenity .,1
"user porn , place bitch gon table sucking niggas dick eating dinner parents .",1
ride along sherrifs depament 10,0
suspected henrico vandals mother son isnt racist,1
wrote absolute worst paper life last week still got b+ . got ta love taking freshman english # retards,1
vegas 4 days bitches .,1
user flagging might police .,0
ronny kamm pussy,1
dont know say besides sad  # orlando # pride # tragedy # pulsenightclub,0
user # newmusic # delasoul de la soul pain ( feat . snoop dogg ),0
user money impress simple broke bitches,1
baddest bitch world followed ig today started liking pics . aint even attractive know catfish,1
user read constitution love . spending starts house . love uninformed teabaggers . # morningjoe,1
breh polygamist town arizona u wan na bitches deck move,1
user user user user user lol yeah say showing games years away,0
whenever came school fresh took hella bathroom breaks hoes could check,1
3rd time ive watched whole vampire diaries series,0
boosie ran hoe,1
true inspiration # raringtogo,0
everybody bitch house,1
week going slow hurry sunday,0
"good morning london . regent , bond oxford today ) ) )",0
happy makes happy . #,0
user swag bitch aha,1
"user girl sit face , nose goes pussy , rides nose like bull , shes keeper .",1
joked half broads brag good pussy / head game .,1
mommy bought mcdonalds stepdad came home taco bell,0
user majority news feed people arguing means redneck # vermontproblems,1
bussy user avi pussy poppin handstand ? ?,1
user .user found brother charlie working dishes today # dsn50 # nasasocial,0
well gahdamn . user wooooow user good job mommy cutest thing blue ivy ever done still ugly nigger baby,1
user bitches bigger sizes 911 cant fit shit id looked dumb af,1
user haha im vacation end,0
user got blushin like drake bitch az . lol,1
yet play doctor faustus kit harington  # ilsleepwhenimdead,0
2016.06.12  disneyland #  # disney # love # friends # movie # # l4l # f4f,0
looking cool river island outfit user user # riverisland # cute # smile,0
cant see friend bc im sick,0
sad bitter reality # journalism,0
yost portsmouth biggest white trash county nation # yostknowsmost user,1
user hard 3 people show .,0
fuck ya feelings aint sorries bitch,1
pussy cat lounge killin girlz user user,0
"user btw , hillary huge supporter law admit lying stupid rubes . needs aske",1
gustin  # friend # quedia,0
user shut bitch spit,1
lookin bitch probably ?,1
user user moments rush # wedeyrush,0
smh hate hoe,1
reminder stay away user user never fill cup ice cream # mcflurry # hot day,0
go # work today ? please answer quick survey # leadership,0
user user god thinking . lol people school showing nigguh videos . im like famous oss,1
would never hit woman would slap hoe,1
user bitch work gone make slap head fuckin neck,1
words fail . senseless merciless . # orlandolove,0
user user pick one girl behind bar aint hoe,1
user user needs fire user dumb mfer hired # genocide promoting ass dont hire graduates,1
"user said family day , thought probably kicked club payback , terrorism .",0
user user user im way love # chavhot sexy scally fucker .,1
